value
18.55
18.5
18.1
18.7
17.7
18.4
18.8
19.05
19.1
18.15
18.05
17.8
17.8
17.2
17.65
16.85
16.2
16.45
16.5
15.95
15
14.8
14.95
15.35
15.25
15.4
15.45
15.2
15.6
14.65
15.05
15.1
15.1
15.35
15.8
15.7
15.75
15.8
15.75
15.45
15.45
15.8
15.65
15.2
16.1
15.25
14.95
14.2
14.2
13.9
14.2
13.45
13.8
13
12.7
11.9
11.85
12.05
11.65
11.55
11.85
11.95
11.8
11.3
11.4
11.65
11.6
11.7
11.8
11.65
11.5
11.55
11.6
11.35
11.2
11.4
11.25
11.4
11.4
11.2
10.7
10.65
10.35
10.15
9.5
9.93
9.83
10.4
9.72
10.45
11
11.2
11.35
11.2
11.55
11.5
11.7
11.8
11.85
11.75
11.7
11.6
11.8
11.9
11.85
11.75
12
11.45
11.8
12.25
12.3
11.7
11.9
12.1
11.9
11.35
11.5
10.95
10.65
11
10.3
11.05
11.3
11.3
10.6
9.92
9.94
9.8
10.1
9.97
10.15
10.05
9.89
9.79
9.7
9.27
9.53
9.7
9.46
8.85
9.06
9.03
8.44
7.89
7.81
7.93
8.12
7.7
7.55
7.35
7.35
7.4
7.26
6.79
6.67
6.24
6.7
6.78
6.5
6.46
6.04
5.65
5.6
5.6
5.7
5.57
5.56
5.2
4.86
4.55
4.65
5
4.9
5.23
5.07
5.42
5.82
5.94
6.16
6.19
6
5.9
6.1
6.55
7.03
7.07
7.6
7.7
7.7
7.59
7.59
7.6
7.8
7.75
7.88
7.77
8.17
8.34
8.06
8.14
8.13
8.06
7.88
7.88
7.84
8.02
8.12
8.26
8.03
7.95
8.23
8.15
8.66
8.98
8.55
8.3
8.44
8.52
8.45
8.1
7.94
8.09
8.09
7.87
7.93
8.02
7.98
8.19
